step,total_loss,data_loss,curv_loss_raw,curv_loss_weighted,lambda_curv_eff,rmse_log10,mae_log10,bias_log10,max_abs_log10,p95_abs_log10,p99_abs_log10
1,0.3394976854324341,0.3394976854324341,182.70266723632812,4.5675668108868805e-12,2.5e-14,0.28949222943584924,0.24312684820368918,-0.017868194024154578,0.6109386627033366,0.48834916903875236,0.5939091126431933
250,1.3849279639543965e-05,1.377324679197045e-05,12165.3017578125,7.603313889603669e-08,6.25e-12,0.0014743670106075882,0.0008532405333596671,0.0005171738765385485,0.006355621526978439,0.003145901160027972,0.005278241176197359
500,1.4718105489919253e-07,4.761473740245645e-14,11774.48046875,1.4718101226662839e-07,1.25e-11,1.290530951437492e-07,1.0581440096622092e-07,-1.4213152728833242e-08,3.4536660820094767e-07,2.309834365554763e-07,3.1919002330127434e-07
750,2.1640367720010545e-07,1.2613450865381348e-13,11541.5224609375,2.16403549302413e-07,1.875e-11,1.6746458946843782e-07,1.3884481048485158e-07,-3.6954927118415526e-08,4.835132525471408e-07,2.8577638158111517e-07,4.129650292128411e-07
1000,2.7882606445928104e-07,1.640274830023991e-13,11153.03515625,2.7882589392902446e-07,2.5e-11,2.5142815245995153e-07,2.0777444979340012e-07,-5.4454529901144203e-08,6.907332181782522e-07,3.894797309555997e-07,6.192575411922967e-07
1250,1.4521708635584218e-06,1.1238663546464522e-06,10505.7431640625,3.2830445206855075e-07,3.125e-11,0.0009620198847039225,0.000607476162987857,0.00026528346437911426,0.004211406801260864,0.0015621784891007623,0.003418371905721955
1500,3.7459986401700007e-07,8.953710550763105e-10,9965.453125,3.7370449490481406e-07,3.75e-11,1.2320124208344745e-05,8.997661617464525e-06,1.5056568946123082e-06,3.6304320497393405e-05,2.898277605023477e-05,3.4637473013976445e-05
1750,4.0018724689616647e-07,3.6446805859804976e-13,9147.12890625,4.001868774139439e-07,4.3750000000000004e-11,3.4783017196952635e-07,2.8205837555530946e-07,-2.8603428112833605e-08,1.2433197920103112e-06,4.948529644721588e-07,9.594436502524648e-07
2000,4.213210615944263e-07,1.2900394641413016e-10,8423.8408203125,4.211920554553217e-07,5e-11,6.93305103561995e-06,5.763890549483262e-06,-1.1217504172951938e-06,1.6351974831962934e-05,1.5254300950395804e-05,1.600153941652138e-05
2250,3.580626980692614e-06,3.202586185580003e-06,7560.81689453125,3.7804085195602966e-07,5e-11,0.0013611495191011567,0.0009794349323834627,0.0009724670534813655,0.0037301013970481023,0.0028280309227752365,0.0034877640199777083
2500,3.4748640587167756e-07,4.654541726004102e-13,6949.71875,3.474859511243267e-07,5e-11,3.2133513562989084e-07,2.309665291191788e-07,1.8217254160206375e-09,1.34692977304951e-06,4.676102193457154e-07,9.875222845145937e-07
2750,3.295993167284905e-07,5.723844575394876e-12,6591.8720703125,3.29593603964895e-07,5e-11,1.2406556888714017e-06,9.293858075935867e-07,4.655997428873856e-07,3.6105894594129495e-06,2.669020525036811e-06,3.263988381476676e-06
3000,2.935131817594083e-07,5.502343372598695e-13,5870.2529296875,2.9351264174692915e-07,5e-11,4.586291571778752e-07,3.4933935854128537e-07,1.957306860081839e-07,1.2778564517645918e-06,9.035417053659952e-07,1.1599635162085053e-06
3250,2.73875684797531e-07,2.356978273578697e-13,5477.50927734375,2.7387545742385555e-07,5e-11,4.880498977719569e-07,3.943328875708051e-07,-1.38843216162294e-07,1.3123931132952293e-06,8.578388948521359e-07,1.170117281628079e-06
3500,2.588918732726597e-07,9.600962247446887e-10,5158.6357421875,2.579317879281007e-07,5e-11,1.650500531641255e-05,1.2601571297565783e-05,-1.804003650716725e-06,4.219846778852343e-05,3.4447196767217724e-05,4.086090826255882e-05
3750,2.306158819465054e-07,1.4450568519563944e-09,4583.41650390625,2.2917082276308065e-07,5e-11,2.7665665870189066e-05,1.1212644106740028e-05,-8.758104219165289e-06,0.0001529071892107936,2.5625440126741943e-05,0.00012038176220066502
4000,2.0992121108065476e-07,7.362485621165149e-12,4198.27685546875,2.0991384985791228e-07,5e-11,1.8396907579151185e-06,1.130465984864432e-06,1.0870026691243256e-06,5.156502366432392e-06,4.83363413161797e-06,5.120766315567238e-06
4250,2.0467783201638667e-07,2.8104349958368857e-09,4037.347900390625,2.0186739391192532e-07,5e-11,2.351079342999199e-05,1.7547864352495695e-05,2.034920503001829e-08,6.537973361453453e-05,5.419243207773758e-05,6.197799513238064e-05
4500,2.399346499259991e-07,5.372726263885852e-08,3724.14794921875,1.862074014979953e-07,5e-11,0.00010550996779813159,8.210981447949924e-05,-2.4462340205372036e-05,0.00032519713957235297,0.00017959451692428624,0.0002936557833206696
4750,1.7535046481498284e-07,2.433046208949463e-09,3458.348388671875,1.729174243791931e-07,5e-11,2.5005016826100028e-05,1.8874598264096404e-05,4.23883273032153e-06,5.483382013515836e-05,5.186044010558887e-05,5.455428497791459e-05
5000,7.609807198605267e-06,7.450564226019196e-06,3184.857177734375,1.592428588992334e-07,5e-11,0.0017839100356288125,0.0015805252790686538,-0.0006316851920537996,0.003051503385119503,0.002924862727400068,0.0030480543957040317
5250,1.5028594191335287e-07,1.9566401832094016e-09,2966.586181640625,1.4832930617103557e-07,5e-11,2.613140799112013e-05,1.94047949742088e-05,-3.3861373361127837e-06,6.704605606522307e-05,6.046772442243051e-05,6.571941974712558e-05
5500,1.4774968803976662e-07,1.027287321875292e-08,2749.536376953125,1.3747681748554896e-07,5e-11,5.578015520596201e-05,3.564801782376815e-05,-1.2401696243703411e-05,0.0002090752244399141,0.00013336624069744103,0.00018939312261290181
5750,1.591860154803726e-07,3.0208742174409053e-08,2579.54541015625,1.2897727685867721e-07,5e-11,0.00010356740536466888,8.092329037327299e-05,-2.734720406698849e-06,0.00027507264122839103,0.00019793478561629379,0.0002678598748429905
6000,1.559093476544149e-07,3.498165312976198e-08,2418.553955078125,1.209276945246529e-07,5e-11,0.00013396437234468452,0.0001128523413584725,-9.747117458132272e-08,0.00034830977272370944,0.00026850234734459015,0.000325893962901098
6250,5.855341669303016e-07,4.702334592820989e-07,2306.01416015625,1.1530070764820266e-07,5e-11,0.000386401045261039,0.0002630802599956099,-5.571614241477769e-05,0.0012249316149830491,0.0008314224132612399,0.001075537902814839
6500,1.5056261304380314e-07,4.288639843252895e-08,2153.5244140625,1.0767622171670155e-07,5e-11,9.953924252061089e-05,7.281953196715461e-05,1.2904939218868114e-05,0.00026330744329960964,0.0002162406939964611,0.0002453282139835265
6750,1.1002639155321958e-07,7.118956091289874e-09,2058.148681640625,1.0290743546192971e-07,5e-11,4.5835944494929435e-05,3.7721701860782275e-05,-5.303898496992569e-06,0.00012237436785689226,8.044395486752616e-05,0.00011594670319366778
7000,3.973675575252855e-07,3.0006683005012746e-07,1946.0142822265625,9.730071326430334e-08,5e-11,0.000330479795981764,0.000303889416064835,-8.437440149353765e-05,0.0005710290916240979,0.0004843684308924345,0.0005361378614772324
7250,2.6785821205521643e-07,1.7505833227460244e-07,1855.9974365234375,9.279987267518663e-08,5e-11,0.00022227865353015107,0.00018869701261225473,-2.01786892902469e-05,0.0004877951836181893,0.000377239046992095,0.00048769758022201517
7500,2.5661040581326233e-07,1.6809546821150434e-07,1770.2987060546875,8.851493760175799e-08,5e-11,0.00023107791171414284,0.0001906075100821525,-4.60069208409173e-05,0.0005609985950307816,0.0004180673623736197,0.0005262766195466281
7750,0.009245747700333595,0.008679118007421494,11332594.0,0.0005666296929121017,5e-11,0.09811893723592943,0.03329554800073121,0.0038072482806876806,0.5488928305031173,0.04188739438323128,0.4476177526942804
8000,7.772658136673272e-05,5.3026610880024805e-11,1554530.625,7.772653043502942e-05,5e-11,4.270951903507704e-06,3.3891813788449506e-06,-1.5960641718746973e-06,1.1084620522794353e-05,7.603143376133658e-06,1.0115106739991822e-05
8250,3.64503612217959e-05,1.8106681085039433e-11,729006.875,3.6450343031901866e-05,5e-11,2.6645175800438546e-06,2.146924792400555e-06,-9.043030777533545e-07,6.137448258058953e-06,4.917913663682326e-06,5.652831729854309e-06
8500,2.5957640900742263e-05,3.871229637297802e-06,441728.21875,2.208641126344446e-05,5e-11,0.0013544633716931422,0.00029564665455690466,-0.0002527103008539792,0.008711744954359446,0.00036157384348962614,0.005480476124073508
8750,1.4847831153019797e-05,1.1441377359422411e-11,296956.375,1.4847819329588674e-05,5e-11,1.9907953980746703e-06,1.560372544274187e-06,-3.284350941054218e-07,4.755981823478805e-06,4.298324380158646e-06,4.682321826976476e-06
9000,1.0555727385508362e-05,5.5118385550168014e-11,211113.4375,1.0555671906331554e-05,5e-11,4.292153348297096e-06,2.7536666284754845e-06,4.706363392971623e-07,1.5235895434173585e-05,8.812269761992996e-06,1.449804879156246e-05
9250,7.791267307766248e-06,3.8289236670152604e-08,155059.5625,7.752978490316309e-06,5e-11,0.00013875938000730204,4.830743214034343e-05,3.655743822569438e-05,0.0007934828299092089,6.268044623656265e-05,0.0006255947964590887
9500,5.856621100974735e-06,1.2903894841542751e-08,116874.34375,5.8437171901459806e-06,5e-11,6.546862172636445e-05,4.978723687543152e-05,-4.80489000198063e-06,0.00015785533060430623,0.00011836936865785573,0.00014658227933791668
9750,4.7074157919269055e-05,4.262472430127673e-05,88988.671875,4.449433617992327e-06,5e-11,0.0036717215237846218,0.0029534866686910547,0.0008621173597182534,0.00728794101173591,0.0064892352442969415,0.007109746037721079
10000,3.5122072858939646e-06,7.806144708411011e-08,68682.9140625,3.434145810388145e-06,5e-11,0.00019146242603380341,0.00011574722447827397,-8.668694444110716e-05,0.0009126902593532549,0.00032985407862087216,0.0007036680342977578
